,id,movie,production_budget,domestic_gross,worldwide_gross,overall_profitability,start_year,genres
0,1,Avatar,425000000,760507625,2776345279,2351345279,2011,['Horror']
1,2,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,635063875,2011,"['Action', 'Adventure', 'Fantasy']"
2,3,Dark Phoenix,350000000,42762350,149762350,-200237650,2019,"['Action', 'Adventure', 'Sci-Fi']"
3,4,Avengers: Age of Ultron,330600000,459005868,1403013963,1072413963,2015,"['Action', 'Adventure', 'Sci-Fi']"
6,7,Avengers: Infinity War,300000000,678815482,2048134200,1748134200,2018,"['Action', 'Adventure', 'Sci-Fi']"
8,9,Justice League,300000000,229024295,655945209,355945209,2017,"['Action', 'Adventure', 'Fantasy']"
9,10,Spectre,300000000,200074175,879620923,579620923,2015,"['Action', 'Adventure', 'Thriller']"
10,11,The Dark Knight Rises,275000000,448139099,1084439099,809439099,2012,"['Action', 'Thriller']"
11,12,Solo: A Star Wars Story,275000000,213767512,393151347,118151347,2018,"['Action', 'Adventure', 'Fantasy']"
12,13,The Lone Ranger,275000000,89302115,260002115,-14997885,2013,"['Action', 'Adventure', 'Western']"
13,14,John Carter,275000000,73058679,282778100,7778100,2012,"['Action', 'Adventure', 'Sci-Fi']"
14,15,Tangled,260000000,200821936,586477240,326477240,2010,"['Adventure', 'Animation', 'Comedy']"
16,17,Captain America: Civil War,250000000,408084349,1140069413,890069413,2016,"['Action', 'Adventure', 'Sci-Fi']"
17,18,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,617500281,2016,"['Action', 'Adventure', 'Fantasy']"
18,19,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,767003568,2012,"['Adventure', 'Family', 'Fantasy']"
20,21,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,710366855,2013,"['Adventure', 'Fantasy']"
21,22,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,695577621,2014,"['Adventure', 'Fantasy']"
22,23,The Fate of the Furious,250000000,225764765,1234846267,984846267,2017,"['Action', 'Crime', 'Thriller']"
24,25,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,558241137,2017,"['Action', 'Adventure', 'Fantasy']"
26,27,The Avengers,225000000,623279547,1517935897,1292935897,2012,"['Action', 'Adventure', 'Sci-Fi']"
28,29,Man of Steel,225000000,291045518,667999518,442999518,2013,"['Action', 'Adventure', 'Sci-Fi']"
30,31,The Amazing Spider-Man,220000000,262030663,757890267,537890267,2012,"['Action', 'Adventure', 'Sci-Fi']"
31,32,Battleship,220000000,65233400,313477717,93477717,2012,"['Action', 'Adventure', 'Sci-Fi']"
32,33,Transformers: The Last Knight,217000000,130168683,602893340,385893340,2017,"['Action', 'Adventure', 'Sci-Fi']"
33,34,Jurassic World,215000000,652270625,1648854864,1433854864,2015,"['Action', 'Adventure', 'Sci-Fi']"
34,35,Men in Black 3,215000000,179020854,654213485,439213485,2012,"['Action', 'Adventure', 'Comedy']"
36,37,Transformers: Age of Extinction,210000000,245439076,1104039076,894039076,2014,"['Action', 'Adventure', 'Sci-Fi']"
38,39,Robin Hood,210000000,105487148,322459006,112459006,2010,"['Action', 'Adventure', 'Drama']"
39,40,King Kong,207000000,218080025,550517357,343517357,2018,"['Action', 'Adventure']"
41,42,Black Panther,200000000,700059566,1348258224,1148258224,2018,"['Action', 'Adventure', 'Sci-Fi']"
42,43,Titanic,200000000,659363944,2208208395,2008208395,2012,['Adventure']
43,44,Incredibles 2,200000000,608581744,1242520711,1042520711,2018,"['Action', 'Adventure', 'Animation']"
44,45,Rogue One: A Star Wars Story,200000000,532177324,1049102856,849102856,2016,"['Action', 'Adventure', 'Sci-Fi']"
45,46,Finding Dory,200000000,486295561,1021215193,821215193,2016,"['Adventure', 'Animation', 'Comedy']"
46,47,Toy Story 3,200000000,415004880,1068879522,868879522,2010,"['Adventure', 'Animation', 'Comedy']"
47,48,Iron Man 3,200000000,408992272,1215392272,1015392272,2013,"['Action', 'Adventure', 'Sci-Fi']"
50,51,Alice in Wonderland,200000000,334191110,1025491110,825491110,2010,"['Adventure', 'Family', 'Fantasy']"
51,52,Skyfall,200000000,304360277,1110526981,910526981,2012,"['Action', 'Adventure', 'Thriller']"
52,53,Monsters University,200000000,268488329,743588329,543588329,2013,"['Adventure', 'Animation', 'Comedy']"
53,54,Oz the Great and Powerful,200000000,234770996,490359051,290359051,2013,"['Adventure', 'Family', 'Fantasy']"
54,55,X-Men: Days of Future Past,200000000,233921534,747862775,547862775,2014,"['Action', 'Adventure', 'Sci-Fi']"
55,56,The Amazing Spider-Man 2,200000000,202853933,708996336,508996336,2014,"['Action', 'Adventure', 'Sci-Fi']"
56,57,Cars 2,200000000,191450875,560155383,360155383,2011,"['Adventure', 'Animation', 'Comedy']"
59,60,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,452220086,2018,"['Adventure', 'Family', 'Fantasy']"
61,62,Green Lantern,200000000,116601172,219535492,19535492,2011,"['Action', 'Adventure', 'Sci-Fi']"
63,64,Transformers: Dark of the Moon,195000000,352390543,1123790543,928790543,2011,"['Action', 'Adventure', 'Sci-Fi']"
64,65,The Mummy,195000000,80101125,409953905,214953905,2017,"['Action', 'Adventure', 'Fantasy']"
65,66,Jack the Giant Slayer,195000000,65187603,197687603,2687603,2013,"['Adventure', 'Fantasy']"
66,67,Furious 7,190000000,353007020,1518722794,1328722794,2015,"['Action', 'Crime', 'Thriller']"
67,68,Star Trek Into Darkness,190000000,228778661,467381584,277381584,2013,"['Action', 'Adventure', 'Sci-Fi']"
68,69,World War Z,190000000,202359711,531514650,341514650,2013,"['Action', 'Adventure', 'Horror']"
69,70,The Great Gatsby,190000000,144840419,351040419,161040419,2013,"['Drama', 'Romance']"
71,72,Pacific Rim,190000000,101802906,411002906,221002906,2013,"['Action', 'Adventure', 'Sci-Fi']"
72,73,The Good Dinosaur,187500000,123087120,333771037,146271037,2015,"['Adventure', 'Animation', 'Comedy']"
73,74,Iron Man,186000000,318604126,585171547,399171547,2013,"['Comedy', 'Drama', 'Family']"
76,77,Brave,185000000,237282182,554606532,369606532,2012,"['Adventure', 'Animation', 'Comedy']"
77,78,Kong: Skull Island,185000000,168052812,561072059,376072059,2017,"['Action', 'Adventure', 'Fantasy']"
78,79,Star Trek Beyond,185000000,158848340,335802233,150802233,2016,"['Action', 'Adventure', 'Sci-Fi']"
79,80,Blade Runner 2049,185000000,92054159,259357408,74357408,2017,"['Drama', 'Mystery', 'Sci-Fi']"
80,81,Aladdin,182000000,246734314,619234314,437234314,2019,"['Adventure', 'Comedy', 'Family']"
81,82,Thor: Ragnarok,180000000,315058289,846980024,666980024,2017,"['Action', 'Adventure', 'Comedy']"
83,84,Maleficent,180000000,241407328,758536735,578536735,2014,"['Action', 'Adventure', 'Family']"
84,85,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,622402853,2016,"['Adventure', 'Family', 'Fantasy']"
87,88,The Legend of Tarzan,180000000,126643061,348902025,168902025,2016,"['Action', 'Adventure', 'Drama']"
88,89,Hugo,180000000,73864507,180047784,47784,2011,"['Adventure', 'Drama', 'Family']"
89,90,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,35098356,2017,"['Action', 'Adventure', 'Fantasy']"
90,91,Jupiter Ascending,179000000,47482519,181982519,2982519,2015,"['Action', 'Adventure', 'Sci-Fi']"
92,93,X-Men: Apocalypse,178000000,155442489,542537546,364537546,2016,"['Action', 'Adventure', 'Sci-Fi']"
93,94,The Meg,178000000,145443742,529530715,351530715,2018,"['Action', 'Horror', 'Sci-Fi']"
94,95,Edge of Tomorrow,178000000,100206256,370541256,192541256,2014,"['Action', 'Sci-Fi']"
95,96,Captain Marvel,175000000,426525952,1123061550,948061550,2019,"['Action', 'Adventure', 'Sci-Fi']"
96,97,The Jungle Book,175000000,364001123,962854547,787854547,2014,['Animation']
97,98,Inside Out,175000000,356461711,854235992,679235992,2011,"['Crime', 'Drama']"
98,99,Spider-Man: Homecoming,175000000,334201140,880166350,705166350,2017,"['Action', 'Adventure', 'Sci-Fi']"
99,100,Suicide Squad,175000000,325100054,746059887,571059887,2016,"['Action', 'Adventure', 'Fantasy']"
101,2,Coco,175000000,209726015,798008101,623008101,2017,"['Adventure', 'Animation', 'Comedy']"
104,5,Cars 3,175000000,152901115,383541369,208541369,2017,"['Adventure', 'Animation', 'Comedy']"
110,11,King Arthur: Legend of the Sword,175000000,39175066,139630336,-35369664,2017,"['Action', 'Adventure', 'Drama']"
111,12,47 Ronin,175000000,38362475,151716815,-23283185,2013,"['Action', 'Adventure', 'Drama']"
112,13,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,1135772799,2018,"['Action', 'Adventure', 'Sci-Fi']"
113,14,Guardians of the Galaxy,170000000,333172112,770867516,600867516,2014,"['Action', 'Adventure', 'Comedy']"
114,15,Iron Man 2,170000000,312433331,621156389,451156389,2010,"['Action', 'Adventure', 'Sci-Fi']"
115,16,Captain America: The Winter Soldier,170000000,259746958,714401889,544401889,2014,"['Action', 'Adventure', 'Sci-Fi']"
116,17,Dawn of the Planet of the Apes,170000000,208545589,710644566,540644566,2014,"['Action', 'Adventure', 'Drama']"
118,19,Snow White and the Huntsman,170000000,155136755,401021746,231021746,2012,"['Action', 'Adventure', 'Drama']"
121,22,Dumbo,170000000,113883318,345004422,175004422,2019,"['Adventure', 'Family', 'Fantasy']"
122,23,Tomorrowland,170000000,93436322,206627518,36627518,2015,"['Action', 'Adventure', 'Family']"
123,24,Alita: Battle Angel,170000000,85710210,402976036,232976036,2019,"['Action', 'Adventure', 'Sci-Fi']"
124,25,Godzilla: King of the Monsters,170000000,85576941,299276941,129276941,2019,"['Action', 'Adventure', 'Fantasy']"
125,26,Alice Through the Looking Glass,170000000,77042381,276928112,106928112,2016,"['Adventure', 'Family', 'Fantasy']"
126,27,Shrek Forever After,165000000,238736787,756244673,591244673,2010,"['Adventure', 'Animation', 'Comedy']"
127,28,Doctor Strange,165000000,232641920,676404566,511404566,2016,"['Action', 'Adventure', 'Fantasy']"
128,29,Big Hero 6,165000000,222527828,652127828,487127828,2014,"['Action', 'Adventure', 'Animation']"
129,30,How to Train Your Dragon,165000000,217581232,494870992,329870992,2010,"['Action', 'Adventure', 'Animation']"
130,31,Wreck-It Ralph,165000000,189412677,496511521,331511521,2012,"['Adventure', 'Animation', 'Comedy']"
131,32,Interstellar,165000000,188017894,666379375,501379375,2014,"['Adventure', 'Drama', 'Sci-Fi']"
132,33,Independence Day: Resurgence,165000000,103144286,384169424,219169424,2016,"['Action', 'Adventure', 'Sci-Fi']"
134,35,Beauty and the Beast,160000000,504014165,1259199706,1099199706,2014,"['Drama', 'Fantasy', 'Romance']"
135,36,Aquaman,160000000,335061807,1146894640,986894640,2018,"['Action', 'Adventure', 'Fantasy']"
137,38,Inception,160000000,292576195,835524642,675524642,2010,"['Action', 'Adventure', 'Sci-Fi']"
138,39,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,488986787,2015,"['Action', 'Adventure', 'Sci-Fi']"
140,41,Godzilla,160000000,200676069,529076069,369076069,2014,"['Action', 'Adventure', 'Sci-Fi']"
141,42,X-Men: First Class,160000000,146408305,355408305,195408305,2011,"['Action', 'Adventure', 'Sci-Fi']"
143,44,The Sorcerer's Apprentice,160000000,63150991,217986320,57986320,2010,"['Action', 'Adventure', 'Family']"
145,46,Warcraft,160000000,47225655,425522281,265522281,2016,"['Action', 'Adventure', 'Fantasy']"
146,47,Deepwater Horizon,156000000,61433527,122603824,-33396176,2016,"['Action', 'Drama', 'History']"
147,48,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950,263186950,2010,"['Adventure', 'Family', 'Fantasy']"
149,50,Pacific Rim: Uprising,155000000,59874525,290930148,135930148,2018,"['Action', 'Adventure', 'Sci-Fi']"
151,52,War for the Planet of the Apes,152000000,146880162,489592267,337592267,2017,"['Action', 'Adventure', 'Drama']"
154,55,Wonder Woman,150000000,412563408,821133378,671133378,2017,"['Action', 'Adventure', 'Fantasy']"
155,56,Frozen,150000000,400738009,1272469910,1122469910,2010,"['Adventure', 'Drama', 'Sport']"
156,57,Zootopia,150000000,341268248,1019429616,869429616,2016,"['Adventure', 'Animation', 'Comedy']"
161,62,Moana,150000000,248757044,637517365,487517365,2016,"['Adventure', 'Animation', 'Comedy']"
165,66,Thor: The Dark World,150000000,206362140,644602516,494602516,2013,"['Action', 'Adventure', 'Fantasy']"
168,69,Dunkirk,150000000,190068280,499837368,349837368,2017,"['Action', 'Drama', 'History']"
169,70,Thor,150000000,181030624,449326618,299326618,2011,"['Action', 'Adventure', 'Fantasy']"
173,74,Kung Fu Panda 2,150000000,165249063,664837547,514837547,2011,"['Action', 'Adventure', 'Animation']"
174,75,Mad Max: Fury Road,150000000,153636354,370098020,220098020,2015,"['Action', 'Adventure', 'Sci-Fi']"
177,78,Ready Player One,150000000,137690172,579290136,429290136,2018,"['Action', 'Adventure', 'Sci-Fi']"
182,83,The Last Airbender,150000000,131772187,319713881,169713881,2010,"['Action', 'Adventure', 'Family']"
186,87,Wrath of the Titans,150000000,83670083,305270083,155270083,2012,"['Action', 'Adventure', 'Fantasy']"
187,88,Beowulf,150000000,82280579,195080579,45080579,2018,"['Action', 'Drama', 'Fantasy']"
188,89,Dark Shadows,150000000,79727149,238202668,88202668,2012,"['Comedy', 'Fantasy', 'Horror']"
189,90,White House Down,150000000,73103784,205440387,55440387,2013,"['Action', 'Drama', 'Thriller']"
190,91,The Wolfman,150000000,62189884,142634358,-7365642,2010,"['Drama', 'Fantasy', 'Horror']"
191,92,The Great Wall,150000000,45157105,334486852,184486852,2016,"['Action', 'Adventure', 'Fantasy']"
192,93,Pan,150000000,35088320,151525973,1525973,2015,"['Adventure', 'Comedy', 'Family']"
193,94,Mars Needs Moms,150000000,21392758,39549758,-110450242,2011,"['Adventure', 'Animation', 'Family']"
196,97,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,601921271,2012,"['Adventure', 'Animation', 'Comedy']"
198,99,How to Train Your Dragon 2,145000000,177002924,614586270,469586270,2014,"['Action', 'Adventure', 'Animation']"
199,100,Tarzan,145000000,171091819,448191819,303191819,2013,"['Adventure', 'Animation', 'Drama']"
200,1,Mr. Peabody & Sherman,145000000,111506430,269806430,124806430,2014,"['Adventure', 'Animation', 'Comedy']"
201,2,Rise of the Guardians,145000000,103412758,306900902,161900902,2012,"['Action', 'Adventure', 'Animation']"
202,3,Sahara,145000000,68671925,121671925,-23328075,2017,"['Adventure', 'Animation', 'Comedy']"
203,4,Ghostbusters,144000000,128350574,229008658,85008658,2016,"['Action', 'Comedy', 'Fantasy']"
209,10,Captain America: The First Avenger,140000000,176654505,370569776,230569776,2011,"['Action', 'Adventure', 'Sci-Fi']"
210,11,Kung Fu Panda 3,140000000,143528619,517599142,377599142,2016,"['Action', 'Adventure', 'Animation']"
212,13,G.I. Joe: Retaliation,140000000,122523060,375740705,235740705,2013,"['Action', 'Adventure', 'Sci-Fi']"
215,16,Exodus: Gods and Kings,140000000,65014513,268314513,128314513,2014,"['Action', 'Adventure', 'Drama']"
216,17,The BFG,140000000,55483770,199646680,59646680,2016,"['Adventure', 'Family', 'Fantasy']"
217,18,Gods of Egypt,140000000,31153464,138836756,-1163244,2016,"['Action', 'Adventure', 'Fantasy']"
220,21,Stealth,138000000,32116746,76416746,-61583254,2012,"['Action', 'Comedy']"
225,26,The Croods,135000000,187168425,573068425,438068425,2013,"['Action', 'Adventure', 'Animation']"
226,27,The Revenant,135000000,183637894,532938302,397938302,2015,"['Action', 'Adventure', 'Biography']"
228,29,Rango,135000000,123477607,245724600,110724600,2011,"['Adventure', 'Animation', 'Comedy']"
230,31,Turbo,135000000,83028130,286896578,151896578,2013,"['Adventure', 'Animation', 'Comedy']"
231,32,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,110328374,2016,"['Action', 'Adventure', 'Comedy']"
232,33,Happy Feet Two,135000000,64006466,157956466,22956466,2011,"['Adventure', 'Animation', 'Comedy']"
234,35,The Nutcracker and the Four Realms,132900000,54858851,170293899,37393899,2018,"['Adventure', 'Family', 'Fantasy']"
235,36,War of the Worlds,132000000,234280354,606836535,474836535,2013,['Sci-Fi']
236,37,Penguins of Madagascar,132000000,83350911,366942531,234942531,2014,"['Adventure', 'Animation', 'Comedy']"
237,38,The Hunger Games: Catching Fire,130000000,424668047,864868047,734868047,2013,"['Action', 'Adventure', 'Sci-Fi']"
240,41,Ant-Man and the Wasp,130000000,216648740,623144660,493144660,2018,"['Action', 'Adventure', 'Comedy']"
242,43,Ant-Man,130000000,180202163,518858449,388858449,2015,"['Action', 'Adventure', 'Comedy']"
243,44,Home,130000000,177397510,385997896,255997896,2011,['Drama']
244,45,Mary Poppins Returns,130000000,171958438,341528518,211528518,2018,"['Comedy', 'Family', 'Fantasy']"
245,46,Puss in Boots,130000000,149260504,554987477,424987477,2011,"['Action', 'Adventure', 'Animation']"
246,47,Megamind,130000000,148415853,321887208,191887208,2010,"['Action', 'Animation', 'Comedy']"
248,49,Rio 2,130000000,131538435,492846291,362846291,2014,"['Adventure', 'Animation', 'Comedy']"
249,50,Salt,130000000,118311368,290650494,160650494,2010,"['Action', 'Mystery', 'Thriller']"
250,51,Noah,130000000,101200044,352831065,222831065,2012,['Animation']
251,52,The Adventures of Tintin,130000000,77591831,373993951,243993951,2011,"['Action', 'Adventure', 'Animation']"
252,53,After Earth,130000000,60522097,251499665,121499665,2013,"['Action', 'Adventure', 'Drama']"
254,55,R.I.P.D.,130000000,33618855,79076678,-50923322,2013,"['Action', 'Adventure', 'Comedy']"
255,56,How to Train Your Dragon: The Hidden World,129000000,160791800,519258283,390258283,2019,"['Action', 'Adventure', 'Animation']"
257,58,Dinosaur,127500000,137748063,356148063,228648063,2011,['Animation']
258,59,Logan,127000000,226277068,615461394,488461394,2010,"['Comedy', 'Drama', 'Family']"
259,60,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,226756621,2014,"['Adventure', 'Comedy', 'Family']"
261,62,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,641575131,2014,"['Action', 'Adventure', 'Sci-Fi']"
266,67,Fast Five,125000000,210031325,630163454,505163454,2011,"['Action', 'Crime', 'Thriller']"
267,68,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,360004754,2014,"['Action', 'Adventure', 'Comedy']"
268,69,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,410663443,2011,"['Action', 'Adventure', 'Crime']"
270,71,The Boss Baby,125000000,175003033,510878762,385878762,2017,"['Adventure', 'Animation', 'Comedy']"
271,72,Clash of the Titans,125000000,163214888,493214888,368214888,2010,"['Action', 'Adventure', 'Fantasy']"
272,73,Trolls,125000000,153707064,344150134,219150134,2016,"['Adventure', 'Animation', 'Comedy']"
274,75,Prometheus,125000000,126477084,402448265,277448265,2012,"['Adventure', 'Mystery', 'Sci-Fi']"
275,76,The Bourne Legacy,125000000,113203870,280355920,155355920,2012,"['Action', 'Adventure', 'Thriller']"
277,78,Skyscraper,125000000,68420120,304115534,179115534,2018,"['Action', 'Adventure', 'Thriller']"
278,79,Total Recall,125000000,58877969,211856088,86856088,2012,"['Action', 'Adventure', 'Mystery']"
280,81,Monster Trucks,125000000,33370166,61642798,-63357202,2016,"['Action', 'Adventure', 'Comedy']"
285,86,Jason Bourne,120000000,162192920,416168316,296168316,2016,"['Action', 'Thriller']"
287,88,Life of Pi,120000000,124987022,620912003,500912003,2012,"['Adventure', 'Drama', 'Fantasy']"
289,90,Rampage,120000000,101028233,428056280,308056280,2018,"['Action', 'Adventure', 'Sci-Fi']"
291,92,Elysium,120000000,93050117,286192091,166192091,2013,"['Action', 'Drama', 'Sci-Fi']"
292,93,Oblivion,120000000,89107235,287916633,167916633,2013,"['Action', 'Adventure', 'Sci-Fi']"
293,94,Power Rangers,120000000,85364450,142531552,22531552,2017,"['Action', 'Adventure', 'Sci-Fi']"
295,96,RoboCop,120000000,58607007,242981799,122981799,2014,"['Action', 'Crime', 'Sci-Fi']"
297,98,Fantastic Four,120000000,56117548,167849187,47849187,2015,"['Action', 'Adventure', 'Drama']"
299,100,The Island,120000000,35818913,163018913,43018913,2011,"['Drama', 'Romance']"
301,2,Knight and Day,117000000,76423035,258751370,141751370,2010,"['Action', 'Adventure', 'Comedy']"
302,3,Venom,116000000,213511408,853628605,737628605,2018,"['Action', 'Sci-Fi', 'Thriller']"
307,8,The Wolverine,115000000,132556852,416456852,301456852,2013,"['Action', 'Adventure', 'Sci-Fi']"
312,13,Gulliver's Travels,112000000,42779261,232017848,120017848,2010,"['Adventure', 'Comedy', 'Family']"
313,14,Ferdinand,111000000,84410380,289847930,178847930,2017,"['Adventure', 'Animation', 'Comedy']"
314,15,Deadpool 2,110000000,324591735,786680557,676680557,2018,"['Action', 'Adventure', 'Comedy']"
315,16,Gravity,110000000,274092705,693698673,583698673,2013,"['Drama', 'Sci-Fi', 'Thriller']"
318,19,San Andreas,110000000,155190832,456258539,346258539,2015,"['Action', 'Adventure', 'Drama']"
319,20,The Smurfs,110000000,142614158,563749323,453749323,2011,"['Adventure', 'Animation', 'Comedy']"
324,25,The Patriot,110000000,113330342,215300000,105300000,2017,['Documentary']
325,26,300: Rise of an Empire,110000000,106580051,330780051,220780051,2014,"['Action', 'Fantasy', 'War']"
327,28,Passengers,110000000,100014699,302239672,192239672,2016,"['Drama', 'Romance', 'Sci-Fi']"
328,29,The Green Hornet,110000000,98780042,229155503,119155503,2011,"['Action', 'Comedy', 'Crime']"
330,31,Real Steel,110000000,85463309,263880341,153880341,2011,"['Action', 'Drama', 'Family']"
331,32,The A-Team,110000000,77222099,177241171,67241171,2010,"['Action', 'Adventure', 'Thriller']"
332,33,The Smurfs 2,110000000,71017784,348547523,238547523,2013,"['Adventure', 'Animation', 'Comedy']"
335,36,Ender's Game,110000000,61737191,127983283,17983283,2013,"['Action', 'Adventure', 'Fantasy']"
339,40,Ghost in the Shell,110000000,40563557,167910690,57910690,2017,"['Action', 'Drama', 'Sci-Fi']"
341,42,Men in Black: International,110000000,3100000,3100000,-106900000,2019,"['Action', 'Adventure', 'Comedy']"
344,45,Ali,109000000,58183966,87683966,-21316034,2012,['Drama']
345,46,The Martian,108000000,228433663,655271443,547271443,2015,"['Adventure', 'Drama', 'Sci-Fi']"
346,47,Allied,106000000,40098064,119266661,13266661,2016,"['Action', 'Drama', 'Romance']"
351,52,Ice Age: Collision Course,105000000,64063008,402156682,297156682,2016,"['Adventure', 'Animation', 'Comedy']"
353,54,Kingsman: The Golden Circle,104000000,100234838,408803696,304803696,2017,"['Action', 'Adventure', 'Comedy']"
355,56,Gladiator,103000000,187683805,457683805,354683805,2014,"['Documentary', 'Thriller']"
357,58,A Wrinkle in Time,103000000,100478608,133401882,30401882,2018,"['Adventure', 'Family', 'Fantasy']"
361,62,Bumblebee,102000000,127195589,465195589,363195589,2018,"['Action', 'Adventure', 'Sci-Fi']"
362,63,Cloud Atlas,102000000,27108272,130673154,28673154,2012,"['Action', 'Drama', 'Mystery']"
368,69,Django Unchained,100000000,162805434,449948323,349948323,2012,"['Drama', 'Western']"
369,70,Little Fockers,100000000,148438600,310650574,210650574,2010,"['Comedy', 'Romance']"
373,74,The Other Guys,100000000,119219978,170936470,70936470,2010,"['Action', 'Comedy', 'Crime']"
375,76,The Wolf of Wall Street,100000000,116900694,389870414,289870414,2013,"['Biography', 'Crime', 'Drama']"
376,77,Epic,100000000,107518682,262794441,162794441,2013,"['Adventure', 'Animation', 'Family']"
380,81,The Expendables 2,100000000,85028192,311979256,211979256,2012,"['Action', 'Adventure', 'Thriller']"
383,84,Hercules,100000000,72688614,243388614,143388614,2014,"['Action', 'Adventure', 'Fantasy']"
384,85,The Tourist,100000000,67631157,278731369,178731369,2010,"['Action', 'Adventure', 'Thriller']"
385,86,End of Days,100000000,66889043,212026975,112026975,2017,"['Comedy', 'Documentary', 'Drama']"
389,90,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717,39716717,2010,"['Action', 'Adventure', 'Animation']"
393,94,Wonder Park,100000000,45216793,115149422,15149422,2019,"['Adventure', 'Animation', 'Comedy']"
395,96,The Expendables 3,100000000,39322544,209461378,109461378,2014,"['Action', 'Adventure', 'Thriller']"
397,98,Green Zone,100000000,35497337,97523020,-2476980,2010,"['Action', 'Drama', 'Thriller']"
398,99,Geostorm,100000000,33700160,220796009,120796009,2017,"['Action', 'Sci-Fi', 'Thriller']"
399,100,Point Break,100000000,28782481,126704591,26704591,2015,"['Action', 'Crime', 'Sport']"
400,1,In the Heart of the Sea,100000000,25020758,89693309,-10306691,2015,"['Action', 'Adventure', 'Biography']"
401,2,Transcendence,100000000,23022309,103039258,3039258,2012,['Drama']
403,4,Mortal Engines,100000000,15951040,85287417,-14712583,2018,"['Action', 'Adventure', 'Fantasy']"
406,7,The Peanuts Movie,99000000,130178411,250091610,151091610,2015,"['Adventure', 'Animation', 'Comedy']"
411,12,Alien: Covenant,97000000,74262031,238521247,141521247,2017,"['Horror', 'Sci-Fi', 'Thriller']"
412,13,Cinderella,95000000,201151353,534551353,439551353,2018,['Musical']
412,13,Cinderella,95000000,201151353,534551353,439551353,2021,"['Comedy', 'Fantasy']"
413,14,Ice Age: Continental Drift,95000000,161321843,879765137,784765137,2012,"['Adventure', 'Animation', 'Comedy']"
414,15,Black Hawk Down,95000000,108638745,159691085,64691085,2014,['Documentary']
415,16,Sex and the City 2,95000000,95347692,294680778,199680778,2010,"['Comedy', 'Drama', 'Romance']"
416,17,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874,128050874,2010,"['Adventure', 'Family', 'Fantasy']"
417,18,The Campaign,95000000,86907746,104907746,9907746,2012,['Comedy']
418,19,Unstoppable,95000000,81562942,165720921,70720921,2010,"['Action', 'Thriller']"
422,23,Ben-Hur,95000000,26410477,91669648,-3330352,2016,"['Action', 'Adventure', 'Drama']"
423,24,Seventh Son,95000000,17725785,108874967,13874967,2014,"['Action', 'Adventure', 'Fantasy']"
428,29,Kingsman: The Secret Service,94000000,128261724,404561724,310561724,2014,"['Action', 'Adventure', 'Comedy']"
430,31,Rise of the Planet of the Apes,93000000,176760185,470986200,377986200,2011,"['Action', 'Drama', 'Sci-Fi']"
433,34,A Good Day to Die Hard,92000000,67349198,304249198,212249198,2013,"['Action', 'Thriller']"
436,37,The Secret Life of Walter Mitty,91000000,58236838,187861183,96861183,2013,"['Adventure', 'Comedy', 'Drama']"
437,38,Jumanji: Welcome to the Jungle,90000000,404508916,964496193,874496193,2017,"['Action', 'Adventure', 'Comedy']"
441,42,Sherlock Holmes,90000000,209028679,498438212,408438212,2011,['Adventure']
444,45,What Lies Beneath,90000000,155464351,288693989,198693989,2018,"['Drama', 'Mystery', 'Thriller']"
445,46,Rio,90000000,143619809,487519809,397519809,2011,"['Adventure', 'Animation', 'Comedy']"
447,48,Charlie's Angels,90000000,125305545,259736090,169736090,2019,"['Action', 'Adventure', 'Comedy']"
448,49,Mulan,90000000,120620254,303500000,213500000,2020,"['Adventure', 'Drama', 'Family']"
450,51,The Girl with the Dragon Tattoo,90000000,102515793,239373970,149373970,2011,"['Crime', 'Drama', 'Mystery']"
451,52,Contact,90000000,100920329,165900000,75900000,2010,"['Documentary', 'History']"
454,55,The Magnificent Seven,90000000,93432655,162525156,72525156,2016,"['Action', 'Adventure', 'Western']"
455,56,Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956,159517956,2015,"['Adventure', 'Animation', 'Comedy']"
458,59,Pixels,90000000,78765986,244041804,154041804,2010,"['Action', 'Comedy']"
462,63,The Interpreter,90000000,72708161,162753837,72753837,2018,"['Comedy', 'Drama']"
