,id,movie,production_budget,domestic_gross,worldwide_gross,overall_profitability,start_year,genres
4576,77,Annie Get Your Gun,3768785,8000000,8000000,4231215,2014,['Crime']
4578,79,Four Lions,3750000,310007,2436111,-1313889,2010,"['Comedy', 'Crime', 'Drama']"
4590,91,Truth or Dare,3500000,41411015,95127344,91627344,2013,"['Horror', 'Romance', 'Thriller']"
4592,93,Friday,3500000,27467564,27936778,24436778,2012,['Family']
4593,94,The Witch,3500000,25138705,40454520,36954520,2015,"['Horror', 'Mystery']"
4594,95,Winchester,3500000,25091816,44378040,40878040,2018,"['Biography', 'Drama', 'Fantasy']"
4596,97,Dark Skies,3500000,17418667,27704111,24204111,2013,"['Horror', 'Sci-Fi', 'Thriller']"
4597,98,Forever My Girl,3500000,16376066,16376066,12876066,2018,"['Drama', 'Music', 'Romance']"
4601,2,Frenzy,3500000,12600000,12600000,9100000,2015,['Thriller']
4604,5,She's the One,3500000,9482579,13795053,10295053,2013,"['Drama', 'Romance']"
4610,11,First Reformed,3500000,3448256,3874772,374772,2017,"['Drama', 'Mystery', 'Thriller']"
4612,13,Believe,3500000,890303,890303,-2609697,2018,['Documentary']
4614,15,American Honey,3500000,663247,2611750,-888250,2016,"['Adventure', 'Drama', 'Romance']"
4615,16,The Bronze,3500000,615816,615816,-2884184,2015,"['Comedy', 'Drama', 'Sport']"
4618,19,The Masked Saint,3500000,182695,182695,-3317305,2016,"['Action', 'Biography', 'Crime']"
4621,22,Time to Choose,3500000,29233,29233,-3470767,2015,['Documentary']
4624,25,The Kick,3500000,0,40622,-3459378,2011,"['Action', 'Sport']"
4626,27,The Secret,3500000,0,0,-3500000,2013,['Documentary']
4631,32,Dawn Patrol,3500000,0,0,-3500000,2014,"['Drama', 'Thriller']"
4633,34,Lords of London,3440000,0,0,-3440000,2014,"['Crime', 'Mystery', 'Thriller']"
4636,37,Margin Call,3400000,5353586,20433227,17033227,2011,"['Drama', 'Thriller']"
4637,38,Choke,3400000,2926565,4124277,724277,2011,"['Action', 'Drama', 'Romance']"
4639,40,August,3400000,12636,12636,-3387364,2011,"['Drama', 'Romance']"
4642,43,Whiplash,3300000,13092006,38969037,35669037,2014,"['Drama', 'Music']"
4643,44,Bella,3300000,8093373,12405473,9105473,2018,"['Drama', 'Family']"
4647,48,The Opposite Sex,3300000,0,50206,-3249794,2014,['Comedy']
4652,53,Rosemary's Baby,3200000,33395426,33395426,30195426,2015,['Comedy']
4653,54,Sorry to Bother You,3200000,17493096,18285560,15085560,2018,"['Comedy', 'Fantasy', 'Sci-Fi']"
4656,57,Beginners,3200000,5790894,14314407,11114407,2010,"['Comedy', 'Drama', 'Romance']"
4657,58,The Meddler,3200000,4267219,5526942,2326942,2015,"['Comedy', 'Drama', 'Romance']"
4658,59,Adam,3200000,2283291,2834485,-365515,2019,['Drama']
4659,60,Feast,3200000,56131,690872,-2509128,2014,['Horror']
4662,63,Antiviral,3100000,0,123407,-2976593,2012,"['Horror', 'Sci-Fi', 'Thriller']"
4664,65,Paranormal Activity 2,3000000,84752907,177512032,174512032,2010,['Horror']
4665,66,War Room,3000000,67790117,73975239,70975239,2015,['Drama']
4666,67,The Purge,3000000,64473115,91266581,88266581,2013,"['Horror', 'Thriller']"
4668,69,Sinister,3000000,48086903,87727807,84727807,2012,"['Horror', 'Mystery', 'Thriller']"
4671,72,Coming Home,3000000,32653000,32653000,29653000,2012,['Documentary']
4688,89,Upgrade,3000000,11977130,16553285,13553285,2018,"['Action', 'Sci-Fi', 'Thriller']"
4696,97,Red River,3000000,9012000,9012000,6012000,2011,['Horror']
4698,99,Before Midnight,3000000,8110621,23251930,20251930,2013,"['Drama', 'Romance']"
4700,1,The Collector,3000000,7712114,10473836,7473836,2012,"['Action', 'Comedy']"
4702,3,Let There Be Light,3000000,7233471,7241309,4241309,2012,['Documentary']
4707,8,Water,3000000,5529144,11322573,8322573,2014,"['Crime', 'Thriller']"
4709,10,Swiss Army Man,3000000,4210454,5837111,2837111,2016,"['Adventure', 'Comedy', 'Drama']"
4712,13,Kama Sutra,3000000,4109095,4109095,1109095,2013,['Romance']
4713,14,Frances Ha,3000000,4067398,11262769,8262769,2012,"['Comedy', 'Drama', 'Romance']"
4714,15,Please Give,3000000,4033574,4570178,1570178,2010,"['Comedy', 'Drama']"
4720,21,Compadres,3000000,3127773,7445044,4445044,2016,"['Action', 'Comedy', 'Crime']"
4724,25,Letters to God,3000000,2848587,3237452,237452,2010,"['Drama', 'Family']"
4725,26,Happiness,3000000,2746453,5746453,2746453,2013,"['Documentary', 'Drama', 'Family']"
4727,28,Tusk,3000000,1821983,1887554,-1112446,2014,"['Comedy', 'Drama', 'Horror']"
4728,29,The Wall,3000000,1803064,4495262,1495262,2010,['Documentary']
4730,31,Damsels in Distress,3000000,1007535,1324299,-1675701,2011,"['Comedy', 'Drama', 'Romance']"
4731,32,Oldboy,3000000,707391,6239723,3239723,2013,"['Action', 'Drama', 'Mystery']"
4732,33,Hobo with a Shotgun,3000000,703372,834953,-2165047,2011,"['Action', 'Comedy', 'Horror']"
4733,34,The D Train,3000000,669688,772366,-2227634,2015,"['Comedy', 'Drama']"
4734,35,Bachelorette,3000000,446770,12577401,9577401,2012,"['Comedy', 'Romance']"
4737,38,Creature,3000000,331000,331000,-2669000,2011,['Horror']
4738,39,The Bounce Back,3000000,321910,421404,-2578596,2016,"['Comedy', 'Romance']"
4739,40,Freeway,3000000,295493,295493,-2704507,2011,['Drama']
4743,44,Tim and Eric's Billion Dollar Movie,3000000,201436,223652,-2776348,2012,['Comedy']
4744,45,Holly,3000000,163069,163069,-2836931,2015,"['Action', 'Crime', 'Thriller']"
4748,49,Fort McCoy,3000000,78948,78948,-2921052,2011,"['Drama', 'History', 'War']"
4751,52,Before We Go,3000000,37151,483938,-2516062,2014,"['Comedy', 'Drama', 'Romance']"
4752,53,The Divide,3000000,18000,156362,-2843638,2011,"['Drama', 'Horror', 'Sci-Fi']"
4755,56,Demonic,3000000,0,4668109,1668109,2015,"['Horror', 'Thriller']"
4757,58,They Came Together,3000000,0,82780,-2917220,2014,"['Comedy', 'Romance']"
4758,59,Open Road,3000000,0,47469,-2952531,2013,"['Action', 'Drama', 'Thriller']"
4760,61,Barry Munday,3000000,0,0,-3000000,2010,"['Comedy', 'Drama', 'Romance']"
4761,62,The Deported,3000000,0,0,-3000000,2019,['Documentary']
4764,65,AWOL-72,3000000,0,0,-3000000,2015,"['Action', 'Thriller']"
4766,67,Enter the Dangerous Mind,3000000,0,0,-3000000,2013,['Thriller']
4767,68,Something Wicked,3000000,0,0,-3000000,2014,"['Drama', 'Horror', 'Mystery']"
4768,69,Point Blank,3000000,0,0,-3000000,2010,"['Action', 'Crime', 'Drama']"
4771,72,Amnesiac,3000000,0,0,-3000000,2013,"['Drama', 'Horror', 'Thriller']"
4772,73,Unnatural,3000000,0,0,-3000000,2015,"['Action', 'Horror', 'Sci-Fi']"
4773,74,Close Range,3000000,0,0,-3000000,2015,"['Action', 'Crime']"
4779,80,Freakonomics,2900000,101270,172867,-2727133,2010,['Documentary']
4780,81,Griff the Invisible,2900000,20778,25935,-2874065,2010,"['Comedy', 'Drama', 'Romance']"
4792,93,Indivisible,2700000,3511417,3588305,888305,2017,['Documentary']
4794,95,Sardaar Ji,2700000,0,8200000,5500000,2015,"['Comedy', 'Fantasy', 'Horror']"
4797,98,Diane,2660000,0,0,-2660000,2017,"['Crime', 'Drama', 'Horror']"
4802,3,Ida,2600000,3827060,15298355,12698355,2013,['Drama']
4809,10,"Fat, Sick & Nearly Dead",2600000,0,0,-2600000,2010,['Documentary']
4811,12,A Haunted House,2500000,40041683,59922558,57422558,2013,"['Comedy', 'Fantasy']"
4813,14,Kevin Hart: Let Me Explain,2500000,32244051,32327255,29827255,2013,"['Comedy', 'Documentary']"
4816,17,Halloween II,2500000,25533818,25533818,23033818,2010,['Horror']
4821,22,The Spectacular Now,2500000,6852971,6916951,4416951,2013,"['Comedy', 'Drama', 'Romance']"
4823,24,Before Sunrise,2500000,5274005,5690220,3190220,2014,['Drama']
4824,25,Hunt for the Wilderpeople,2500000,5205471,23845533,21345533,2016,"['Adventure', 'Comedy', 'Drama']"
4825,26,Robot & Frank,2500000,3317468,4934356,2434356,2012,"['Comedy', 'Crime', 'Drama']"
4830,31,The Lost Medallion: The Adventures of Billy Stone,2500000,549632,549632,-1950368,2013,"['Adventure', 'Family', 'Fantasy']"
4833,34,Super,2500000,327716,593933,-1906067,2010,"['Action', 'Comedy', 'Drama']"
4834,35,Fuel,2500000,174255,174255,-2325745,2018,"['Documentary', 'Sport']"
4837,38,8: The Mormon Proposition,2500000,100280,100280,-2399720,2010,['Documentary']
4840,41,Underdogs,2500000,35017,1392649,-1107351,2018,"['Documentary', 'Sport']"
4842,43,The Calling,2500000,0,0,-2500000,2014,"['Drama', 'Thriller']"
4843,44,Alien Uprising,2500000,0,0,-2500000,2012,"['Comedy', 'Horror', 'Sci-Fi']"
4844,45,Christmas Mail,2500000,0,0,-2500000,2010,"['Comedy', 'Drama', 'Family']"
